,Real Name,Weight and Height,Birthplace,wrestler_name,Debut,Height,Date of Birth,Date of Death,Weight
28386,Scott Fellows,,,CJ Scott,2007,,,,245 lbs. (111 kg)
28387,unknown,,,Elite Terrell,,,,,
28388,unknown,,"Toronto, Ontario (Canada)",Ricky Williams,,,,,198 lbs. (90 kg)
28390,unknown,,Mexico,Brooke the Clown,,,7th April 1986 (age 35),,
28391,unknown,,Mexico,Karen Rico ,,,,,
28392,John Joseph Quinlan,230 lbs. (104 kg) at 5'9'' (1.75 m),Massachusetts (United States of America),John Bagwell,26th November 1999 (22 years ago),,30th October 1974 (age 47),,
28393,unknown,,,John Bagwell,,,,,
28394,unknown,,,Jerry Ward,,,,,
28395,unknown,,Mexico,Black Niko,,,19th February ???,,
28397,unknown,,Mexico,Skanda,2010,,3rd April 1988 (age 33),,
28398,Conn Hamlett,,,Billy Conn,,,,,
28399,William Sondermann,,,Jack Dribbs,,,1888,3rd December 1943,
28400,Robert J. Wilkie,,"Attica, New York (United States of America)",Bob Wilkie,,,20th June 1898,6th April 1943,
28401,unknown,176 lbs. (80 kg) at 5'10'' (1.78 m),"Fresno, California (United States of America)",CJay Kurz,,,9th June 1981 (age 40),,
28402,unknown,176 lbs. (80 kg) at 5'9'' (1.75 m),"Columbia, South Carolina (United States of America)",Michael Frehley,,,1986,,
28404,unknown,235 lbs. (107 kg) at 6'3'' (1.91 m),United States of America,Core,,,,,
28405,unknown,,Mexico,Látigo,,,,,
28406,unknown,143 lbs. (65 kg) at 5'7'' (1.70 m),Mexico,La Reina del Sur ,,,19th October 1987 (age 34),,
28407,unknown,187 lbs. (85 kg) at 5'11'' (1.80 m),Tamaulipas (Mexico),Dragster,2011,,,,
28408,unknown,,"Salamanca, Guanajuato (Mexico)",Energy,,,19th December 1995 (age 26),,
28409,unknown,163 lbs. (74 kg) at 5'9'' (1.75 m),"Cuernavaca, Morelos (Mexico)",Juventud Venegas,2011,,,,
28412,unknown,255 lbs. (116 kg) at 6'4'' (1.93 m),United States of America,Alexander Paul,,,22nd June 1982 (age 39),,
28413,Davienne Long,,"Rutland, Massachusetts (United States of America)",Davienne ,6th April 2013 (8 years ago),5'0'' (1.52 m),29th June 1994 (age 27),,
28414,Yua Hayashi,130 lbs. (59 kg) at 5'3'' (1.60 m),"Adachi, Tokyo (Japan)",Yua Hayashi ,23rd March 2014 (7 years ago),,7th May 1998 (age 23),,
28416,unknown,,"Nuevo Laredo, Tamaulipas (Mexico)",Guerrero Espacial,,,17th September 1992 (age 29),,
28417,Ricardo Javier González,,Nuevo León (Mexico),Naufrago,2005,,,??th April 2014,
28419,unknown,,Tennessee (United States of America),Daniel Mulligan,,,,,
28420,Emmett Walter Waters,155 lbs. (70 kg) at 5'9'' (1.75 m),"Camden, Arkansas (United States of America)",Cowboy Waters,,,11th February 1911,19th September 1967,
28421,Shawne DeAndre Merriman,272 lbs. (123 kg) at 6'5'' (1.96 m),"Washington, District of Columbia (United States of America)",Shawne Merriman,,,25th April 1984 (age 37),,
28426,unknown,189 lbs. (86 kg) at 6'1'' (1.85 m),"Indianapolis, Indiana (United States of America)",Dale Patricks,??th December 2011,,14th September 1991 (age 30),,
28427,unknown,,Mexico,Ironia,,5'8'' (1.73 m),2nd January ???,,
28428,unknown,,,Harold Murphy,1936,,,,
28429,unknown,,,Bob Stone,,,,,
28430,unknown,,,Ramón Romo,,,,,
28431,unknown,,"Monterrey, Nuevo León (Mexico)",Lady Azteca ,,,28th January 1980 (age 42),,
28432,unknown,128 lbs. (58 kg) at 5'3'' (1.60 m),"Monterrey, Nuevo León (Mexico)",Jade ,26th April 2013 (8 years ago),,21st June 1984 (age 37),,
28438,unknown,200 lbs. (91 kg) at 5'3'' (1.60 m),"Saint-Hyacinthe, Quebec (Canada)",Bettie Rage ,,,,,
28440,unknown,215 lbs. (98 kg) at 5'10'' (1.78 m),"Davenport, Iowa (United States of America)",The Carver,??th March 2012,,13th September 1993 (age 28),,
28442,Abu Blackman,270 lbs. (122 kg) at 6'3'' (1.91 m),New York (United States of America),Abu Colossus,??th February 2001,,4th August ???,,
28443,Enrique Peña Rivera,,"Nicolás Romero, Estado de México (Mexico)",Skrash,,,4th August ???,,
28444,Daniel Drennen,220 lbs. (100 kg) at 5'11'' (1.80 m),Florida (United States of America),Drennen,16th February 2009 (13 years ago),,30th November ???,,
28445,unknown,,"Saltillo, Coahuila de Zaragoza (Mexico)",Kokis Doberman Jr.,,,4th June 1995 (age 26),,
28446,unknown,,"Saltillo, Coahuila de Zaragoza (Mexico)",Kokis Doberman,,,4th June 1992 (age 29),,
28447,unknown,264 lbs. (120 kg) at 5'8'' (1.73 m),"Celaya, Guanajuato (Mexico)",Eduard Punk,,,17th August 1994 (age 27),,
28448,Ricky Mounteer,205 lbs. (93 kg) at 5'11'' (1.80 m),,Radical Ricky,,,25th February 1985 (age 37),,
28450,Christopher Allen Hatler,,"Ventura, California (United States of America)",Chris Hatler,,,6th December 1965,1st May 2014,
28451,Jesse Meredith,,,Drake Graven,,,,30th April 2014,
28452,Stephen Lee Fisher,,"Peoria, Illinois (United States of America)",Toga Steve,2002,,12th June 1979,10th April 2014,
28453,Kenneth G. Bevan,,"Danville, Pennsylvania (United States of America)",Kenny Casanova,,,,,
28456,William Yerger III.,,"Whitehall, Pennsylvania (United States of America)",Billy Dream,,,,,
28457,unknown,,,Grizzly Jones,,,,,
28459,unknown,,Jalisco (Mexico),Alex Romano,,,,,
28460,unknown,106 lbs. (48 kg) at 5'1'' (1.55 m),"Saitama, Saitama (Japan)",Yuka ,21st December 2013 (8 years ago),,4th July 1998 (age 23),,
28461,unknown,86 lbs. (39 kg) at 4'9'' (1.45 m),Tokyo (Japan),Akiba Shiori ,22nd March 2014 (7 years ago),,29th January 1990 (age 32),,
28462,unknown,,,Jade Dawson,,,,,
28463,Jeanne Killjoy,,,Brittany Blake ,,,29th March 1991 (age 30),,
28465,unknown,,Guanajuato (Mexico),Blue Machine,,,,,
28466,Seville Alvarez,,"Ainaloa, Hawaii (United States of America)",Gino Rivera,,,25th April 1988 (age 33),,
28467,Chris Rossington,210 lbs. (95 kg) at 5'9'' (1.75 m),United Kingdom,Jack Union,,,7th May 1983 (age 38),,
28468,unknown,276 lbs. (125 kg) at 6'8'' (2.03 m),Japan,Tsunagoro Rashomon,,,5th March 1920,XXXX,
28469,Paul Singh Dhaliwal,,"Chananwal, Punjab (India)",Paul Singh,,,14th May 1914,20th January 2015,
28470,Vince Palazola,,,Vince Palmer,,,,,
28471,Humberto López,,"Guadalajara, Jalisco (Mexico)",El Hijo de la Bestia,1999,,18th January 1982 (age 40),,
28472,unknown,170 lbs. (77 kg) at 5'9'' (1.75 m),United States of America,Richie Slade,,,11th June ???,,
28474,Andrew Minafee,,"Los Angeles, California (United States of America)",Andy Brown,,,5th January 1989 (age 33),,
28475,unknown,292 lbs. (132 kg) at 6'0'' (1.83 m),"Rochester, New York (United States of America)",Pete D. Order,,,,,
28476,unknown,,New Jersey (United States of America),Qefka the Quiet,,,,,
28477,Chris Frank,185 lbs. (84 kg) at 6'3'' (1.91 m),"Inwood, New York (United States of America)",Johnny Cockstrong,2002,,,,
28478,unknown,,,Mary Lou Ermine,,,,,
28479,unknown,,,Mr. A,,,,,
28480,Li Jingliang,169 lbs. (77 kg) at 6'0'' (1.83 m),Xinjiang (China),Li Jingliang,,,20th March 1988 (age 34),,
28481,David Michaud,155 lbs. (70 kg) at 5'9'' (1.75 m),"Brookings, South Dakota (United States of America)",David Michaud,25th April 2009 (12 years ago),,10th November 1988 (age 33),,
28482,unknown,135 lbs. (61 kg) at 5'9'' (1.75 m),"Lafayette, Louisiana (United States of America)",Aaron Phillips,,,5th August 1989 (age 32),,
28484,Ashley Allyn Roberts,115 lbs. (52 kg) at 5'3'' (1.60 m),"Phoenix, Arizona (United States of America)",Ashley Roberts,17th April 2014 (7 years ago),,14th September 1981 (age 40),,
28485,unknown,,Nuevo León (Mexico),Mini Bengalí,,,23rd May 1993 (age 28),,
28486,unknown,,Nuevo León (Mexico),Mini Difunto,,,10th March 1983 (age 39),,
28487,unknown,,"Ciudad de México, Ciudad de México (Mexico)",Mini Electroshock,,,4th April 1986 (age 35),,
28489,unknown,,"Ciudad de México, Ciudad de México (Mexico)",Kevin,,,11th September 1989 (age 32),,
28490,Tony Ortiz,,Mexico,Tony,,,12th August 1995 (age 26),,
28491,unknown,,"Tulancingo de Bravo, Hidalgo (Mexico)",Jimmy,,,16th June 1996 (age 25),,
28492,Roberto Plata Hernández,,Puebla (Mexico),Pequeño Cobra,2000,,1985,,
28493,unknown,148 lbs. (67 kg) at 5'2'' (1.57 m),Puebla (Mexico),Pequeño Joker,,,17th September 1980 (age 41),,
28494,unknown,,San Luis Potosí (Mexico),Coyote Azul Jr.,,,,,
28495,unknown,,San Luis Potosí (Mexico),Steel Angel,,,,,
28496,unknown,,"Ciudad de México, Ciudad de México (Mexico)",Euro,,,9th February ???,,
28497,Roberto Fernández,,"Guadalajara, Jalisco (Mexico)",Stryker,2011,,23rd February 1984 (age 38),,
28498,unknown,315 lbs. (143 kg) at 6'4'' (1.93 m),"Tulsa, Oklahoma (United States of America)",Justin Riker,15th February 2014 (8 years ago),,9th February 1990 (age 32),,
28502,unknown,,United Kingdom,DCT,,,,,
28503,unknown,240 lbs. (109 kg) at 6'3'' (1.91 m),Praha (Czech Republic),Viktor Peta,,,15th July 1990 (age 31),,
28504,Pawel Pawlak,170 lbs. (77 kg) at 6'0'' (1.83 m),"Lódz, Lódzkie (Poland)",Pawel Pawlak,28th May 2010 (11 years ago),,8th February 1989 (age 33),,
28505,unknown,155 lbs. (70 kg) at 5'8'' (1.73 m),"Köln, Nordrhein-Westfalen (Germany)",Nick Hein,,,24th April 1984 (age 37),,
28506,Niklas Bäckström,145 lbs. (66 kg) at 6'0'' (1.83 m),"Luleå, Norrbottens (Sweden)",Niklas Bäckström,31st October 2009 (12 years ago),,22nd August 1989 (age 32),,
28507,Stanley Jack Pinta,,"Long Beach, California (United States of America)",Jack Pinto,,,26th September 1926,7th August 2002,
28509,Craig Minervini,,,Craig DeGeorge,,,,,
28510,unknown,,,Kid Ellis,,,,,
28511,unknown,,,Jimmy Hefner,,,,7th December 1941,175 lbs. (79 kg)
28512,unknown,,United States of America,Jake Glasure,,,,,
28513,unknown,179 lbs. (81 kg) at 5'7'' (1.70 m),Morelos (Mexico),Alas de Plata,26th May 2007 (14 years ago),,,,
28514,Antonio Acuña,,Sinaloa (Mexico),El Ángel,,,,,
28515,Jorge Merino Valencia,,"Ciudad de México, Ciudad de México (Mexico)",Shadow,,,,,
28517,unknown,125 lbs. (57 kg) at 5'4'' (1.63 m),United States of America,Stephanie Wiand ,,,,,
28518,Jerome Middoux,,Johannesburg (South Africa),Zizou Middoux,,,,,
28519,unknown,,"Albany, Oregon (United States of America)",Pugsley,,,,,
28522,Aulus Autila Britt,,Kansas (United States of America),Aulus Britt,,,26th January 1877,9th May 1940,
28524,unknown,,"Salamanca, Guanajuato (Mexico)",Ridexx,,,,,
28525,Mario Chávez,,"León de los Aldama, Guanajuato (Mexico)",El Gemelo #1,,,4th September 1980 (age 41),,
28526,unknown,,"Reno, Nevada (United States of America)",Ryan McQueen,,,,,
28527,unknown,,Durango (Mexico),Ministro de la Muerte,,,,,
28528,unknown,,,Dick Beattie,,,,,
28529,unknown,,,Nick Estaban Taylor,,,13th October 1983 (age 38),,
28530,unknown,,Mexico,Carito,,,,,
28532,Gary Jones,,United States of America,Ganon Jones Jr.,,,1989,,
28533,unknown,,"Las Vegas, Nevada (United States of America)",Cassidy Stone,,,,,
28534,unknown,,"Guadalajara, Jalisco (Mexico)",Emperador Azteca,,,6th August 1991 (age 30),,
28535,Francisco Javier Lizárraga Meza,,Mexico,Anubis Black,2010,,16th August 1988,20th June 2020,
28537,unknown,,"Ciudad de México, Ciudad de México (Mexico)",India Mazahua ,,,3rd February 1998 (age 24),,
28539,unknown,,"Girard, Ohio (United States of America)",Joey Martini,,,,,235 lbs. (107 kg)
28540,unknown,150 lbs. (68 kg) at 5'9'' (1.75 m),"Antofagasta, Región de Antofagasta (Chile)",Anarko Montana,2nd December 2002 (19 years ago),,,,
28541,unknown,155 lbs. (70 kg) at 5'4'' (1.63 m),"Ciudad de México, Ciudad de México (Mexico)",Diosa Atenea ,6th July 2007 (14 years ago),,21st November 1990 (age 31),,
28542,Mike Murphy,,,Mike Malachi,,,,,
28543,unknown,,,Lou Ravelle,,,,,
28544,Roger Narvaez,185 lbs. (84 kg) at 6'3'' (1.91 m),"Corpus Christi, Texas (United States of America)",Roger Narvaez,15th October 2011 (10 years ago),,9th September 1983 (age 38),,
28546,unknown,,San Luis Potosí (Mexico),El Infiel,,,,,
28547,unknown,,San Luis Potosí (Mexico),Llanero Solitario,,,,,
28548,unknown,,San Luis Potosí (Mexico),Golpe del Dragón,,,,,
28549,unknown,,San Luis Potosí (Mexico),Sabu Jr.,,,,,
28550,unknown,,"Detroit, Michigan (United States of America)",Jontae Keith,,,31st July 1993 (age 28),,
28551,unknown,,"Cincinnati, Ohio (United States of America)",Zakk Spadez,,,,,
28552,Joe I. Credit,,"Detroit, Michigan (United States of America)",Cassidy Kieth,,,29th June 1988 (age 33),,
28553,unknown,,"Greenfield, Indiana (United States of America)",Anthony Lee,,,,,
28554,unknown,,"Chillicothe, Ohio (United States of America)",Bruce Grey,,,1st March 1984 (age 38),,
28555,unknown,,"Columbus, Indiana (United States of America)",Donny Idol,,,26th March 1985 (age 36),,
28556,unknown,,"Cedar Lake, Indiana (United States of America)",Jerrod Harris,??th May 2013,,16th August ???,,
28557,unknown,,,Duke BeefHammer,,,,,
28558,unknown,,,Abe Marshall,,,,,
28559,unknown,181 lbs. (82 kg) at 6'0'' (1.83 m),"Nuevo Laredo, Tamaulipas (Mexico)",Sexy Súbita,,,28th March ???,,
28560,unknown,176 lbs. (80 kg) at 5'7'' (1.70 m),"Nuevo Laredo, Tamaulipas (Mexico)",El Castigador,,,,,
28562,unknown,,,George Kogut,,,,,
28564,unknown,,"Erfurt, Thüringen (Germany)",Chris Rocke,,,,,
28565,Ken Dixon,,Georgia (United States of America),Ken Dixon,,,8th September 1984 (age 37),,
28566,unknown,202 lbs. (92 kg) at 5'9'' (1.75 m),"Dresden, Sachsen (Germany)",Dynamite Dave,7th July 2012 (9 years ago),,3rd January 1991 (age 31),,
28568,Claudia Rautenberg,,"Berlin, Berlin (Germany)",Brenda Star,5th October 2013 (8 years ago),5'8'' (1.73 m),8th July 1986 (age 35),,
28569,unknown,143 lbs. (65 kg) at 5'1'' (1.55 m),"Reggio Calabria, Calabria (Italy)",Vanessa la Bestia,2nd November 2013 (8 years ago),,24th August 1990 (age 31),,
28572,unknown,,,Kiyoka Seito,,,,,
28573,unknown,,,Lou Carlo,,,,,
28575,unknown,115 lbs. (52 kg) at 5'1'' (1.55 m),Mexico,Sexy Ángel ,14th February 2010 (12 years ago),,14th April 1993 (age 28),,
28576,unknown,,"Ciudad de México, Ciudad de México (Mexico)",Villano III Jr.,,,11th July ???,,
28577,unknown,,"Ciudad de México, Ciudad de México (Mexico)",El Hijo del Villano III,,,26th November 1999 (age 22),,
28580,Fredy Rodríguez,160 lbs. (73 kg) at 5'8'' (1.73 m),Guatemala,Kawachi,2009,,5th August 1983 (age 38),,
28583,Mitsuyoshi Nakai,220 lbs. (100 kg) at 5'11'' (1.80 m),"Tokyo, Tokyo (Japan)",Mitsuyoshi Nakai,10th June 2007 (14 years ago),,2nd January 1989 (age 33),,
28584,Sarah Bäckman,160 lbs. (73 kg) at 5'9'' (1.75 m),,Shara ,,,8th December 1991 (age 30),,
28585,James Joseph Abreau,220 lbs. (100 kg) at 5'10'' (1.78 m),"Boston, Massachusetts (United States of America)",Jimmy Preston,,,15th December 1984 (age 37),,
28586,Brittanee Sloan,,"Osaka, Osaka (Japan)",Kikyo Nakamura ,2nd March 2009 (13 years ago),,31st July ???,,
28589,unknown,161 lbs. (73 kg) at 5'6'' (1.68 m),"Tlalnepantla de Baz, Estado de México (Mexico)",Master Fly,26th January 2013 (9 years ago),,22nd September 1989 (age 32),,
28590,unknown,,Mexico,Águila Misteriosa,,,29th January 1983,16th March 2021,
28594,unknown,,"Ciudad de México, Ciudad de México (Mexico)",Chicanito,,,18th January 1997 (age 25),,
28595,Hakaru Yasutake,289 lbs. (131 kg) at 5'11'' (1.80 m),,Yakatayama,,,5th May 1917,4th March 1977,
28596,Hisamitsu Mojima,220 lbs. (100 kg) at 5'9'' (1.75 m),,Onoumi,,,20th March 1916,20th September 1981,
28597,Kinmatsu Hagimori,265 lbs. (120 kg) at 5'11'' (1.80 m),,Maedayama,,,4th May 1914,17th August 1971,
28598,Jonathan Montgomery,310 lbs. (141 kg) at 6'6'' (1.98 m),"Louisville, Kentucky (United States of America)",Big Jon,,,,,
28600,Daniel Anderson,280 lbs. (127 kg) at 6'3'' (1.91 m),"Louisville, Kentucky (United States of America)",Dapper Dan Van Zandt,2014,,18th May ???,,
28601,unknown,,"Louisville, Kentucky (United States of America)",Deonta Davis,??th June 2013,,8th June ???,,
28602,unknown,330 lbs. (150 kg) at 6'0'' (1.83 m),"Louisville, Kentucky (United States of America)",Big Zo,,,,,
28604,unknown,,,Connie O'Connor,,,,,
28605,Frank Marshall Ramey,,,Elmer Estep,,,13th July 1905,XXXX,
28606,unknown,,,Rose Marie Alvarez,,,,,
28607,unknown,161 lbs. (73 kg) at 5'8'' (1.73 m),Mexico,Optimus,,,,,
28608,unknown,,Veracruz de Ignacio de la Llave (Mexico),Perro Mocho,,,,,
28609,unknown,,,Buddy Rosen,,,,,
28610,Alejandro Gómez Barrientos,,Veracruz de Ignacio de la Llave (Mexico),Dragón Chino #2,15th September 1979 (42 years ago),,18th January 1965,2nd June 2020,
28612,unknown,187 lbs. (85 kg) at 5'8'' (1.73 m),Mexico,Felino Audaz,,,,,
28615,Carlos Vázquez,,San Luis Potosí (Mexico),Príncipe Águila,2004,,,,
28616,unknown,,Mexico,Último Caballero,,,3rd September ???,,
28617,unknown,242 lbs. (110 kg) at 5'8'' (1.73 m),,Jeremiah O'Neal,,,25th October 1977 (age 44),,
28620,Herbert Friedman,,"New York City, New York (United States of America)",Herbie Freeman,,,12th March 1906,10th April 1966,
28622,Mike de la Torre,135 lbs. (61 kg) at 6'0'' (1.83 m),"San Diego, California (United States of America)",Mike de la Torre,19th August 2006 (15 years ago),,22nd September 1986 (age 35),,
28623,Vik Grujic,184 lbs. (83 kg) at 6'0'' (1.83 m),"Melbourne, Victoria (Australia)",Vik Grujic,22nd November 2009 (12 years ago),,6th February 1977 (age 45),,
28627,Karen Alvarado,165 lbs. (75 kg) at 5'5'' (1.65 m),"Monterrey, Nuevo León (Mexico)",Panther Luna ,,,29th October 1991 (age 30),,
28628,Nina Sánchez,130 lbs. (59 kg) at 5'3'' (1.60 m),"Monterrey, Nuevo León (Mexico)",Nina Windy ,,,10th June 1991 (age 30),,
28629,unknown,,"Lagos de Moreno, Jalisco (Mexico)",Universo Dos Mil Jr.,,,8th June ???,,
28630,unknown,,"Ciudad de México, Ciudad de México (Mexico)",Karma,,,18th June 1989 (age 32),,
28631,unknown,139 lbs. (63 kg) at 5'5'' (1.65 m),"Ciudad de México, Ciudad de México (Mexico)",Lilith Dark ,26th October 2013 (8 years ago),,9th November 1999 (age 22),,
28632,Rafael Reyes González,,,Rey Gato,1990,,,,
28633,unknown,121 lbs. (55 kg) at 5'1'' (1.55 m),"Nezahualcóyotl, Estado de México (Mexico)",Dulce Luna ,26th October 2013 (8 years ago),,9th April 1995 (age 26),,
28635,Cristián Rodríguez,,"Juárez, Chihuahua (Mexico)",Centinela,,,21st January 1991 (age 31),,
28636,unknown,187 lbs. (85 kg) at 5'8'' (1.73 m),Chihuahua (Mexico),Hérmes Jr.,2007,,30th October 1987 (age 34),,
28637,unknown,,"Bloomington, Illinois (United States of America)",Jack Rebel,2013,,11th May 1993 (age 28),,
28640,unknown,,"New York City, New York (United States of America)",Brandon Watts,2013,,14th December 1994 (age 27),,
28642,unknown,,"Coldwater, Michigan (United States of America)",Chase Matthews,,,,,
28643,Carlos Jáquez Valerio,,,Hérmes,,,29th January 1949,26th May 2018,
28645,unknown,229 lbs. (104 kg) at 5'10'' (1.78 m),Oregon (United States of America),The Grappler #3,??th February 2005,,,,
28650,Yuna Suzuki,132 lbs. (60 kg) at 5'7'' (1.70 m),"Chiba, Chiba (Japan)",Yuna Manase ,12th January 2014 (8 years ago),,11th November 1987 (age 34),,
28651,Ririko Ishizawa,,Nagano (Japan),Ririko Kendo ,28th January 2014 (8 years ago),5'4'' (1.63 m),27th September ???,,
28652,unknown,,"Ciudad de México, Ciudad de México (Mexico)",Cosmos Negro,,,,,
28655,unknown,,Aguascalientes (Mexico),El Arquero,,,16th November 1971 (age 50),,
28658,unknown,,Estado de México (Mexico),Guerrero del Fuego,,,,,
28659,unknown,,Mexico,Tormenta Roja,,,,,
28660,María del Pilar Cruz,,"Toluca, Estado de México (Mexico)",Guerrera Nocturna ,1994,,1976,,
28662,unknown,,,MG Animal,,,,,
28663,unknown,150 lbs. (68 kg) at 5'7'' (1.70 m),"Montréal, Quebec (Canada)",Justin Turnbull,,,,,
28664,unknown,190 lbs. (86 kg) at 5'10'' (1.78 m),"Montréal, Quebec (Canada)",Oliver Strange,,,,,
28666,unknown,,"Monterrey, Nuevo León (Mexico)",Black Géminis,,,10th June 1986 (age 35),,
28668,unknown,,"Monterrey, Nuevo León (Mexico)",Silver Géminis,,,13th June 1985 (age 36),,
28669,unknown,,,Tyler Thomas,,,,,
28670,unknown,,,Kirk Warmack,,,,,
28672,unknown,,,Joey Bricco,,,,,
28673,John Calvin Glenn,183 lbs. (83 kg) at 5'9'' (1.75 m),Kentucky (United States of America),JC Rotten,16th February 2013 (9 years ago),,16th May 1996 (age 25),,
28674,Jorge Guerrero,,"Nezahualcóyotl, Estado de México (Mexico)",Hacha Infernal,,,,,
28675,unknown,225 lbs. (102 kg) at 6'4'' (1.93 m),"Columbia, South Carolina (United States of America)",Billy Brash,2010,,,,
28676,Fred Volrich,,Ohio (United States of America),Man Mountain Dean Jr.,,,25th April 1925,1st May 1972,300 lbs. (136 kg)
28677,George W. Reiniger,,Connecticut (United States of America),George Reiniger,,,4th June 1920,8th November 2005,
28678,Edward J. Huot,,Massachusetts (United States of America),Cement Hewitt,,,27th November 1915,23rd April 1978,
28679,unknown,,,Eddie Shaboo,,,,,
28680,unknown,230 lbs. (104 kg) at 6'2'' (1.88 m),"Charlotte, North Carolina (United States of America)",Jaxson James,2013,,,,
28682,Hugo Charles Cantonwine,,Iowa (United States of America),Hugo Cantonwine,,,24th December 1902,17th February 1985,
28683,Joseph G. Tripsansky,,Nyírbátor (Hungary),Joe Szabo,,,20th August 1905,21st October 1983,
28684,unknown,,"Stockholm, Stockholms (Sweden)",LiLiCo ,17th August 2014 (7 years ago),,16th November 1970 (age 51),,
28685,Christopher Cofranceso,,"Bethany, Connecticut (United States of America)",Chris Battle,,6'0'' (1.83 m),1982,,
28686,Anthony Cofrancesco,,"Bethany, Connecticut (United States of America)",Anthony Battle,,5'11'' (1.80 m),1986,,
28687,AJ Motta,150 lbs. (68 kg) at 5'6'' (1.68 m),United States of America,AJ Cruise,,,18th November 1986 (age 35),,
28688,Christian Brigham,210 lbs. (95 kg) at 5'10'' (1.78 m),"Worcester, Massachusetts (United States of America)",Carmelo Hayes,12th April 2014 (7 years ago),,1st August 1994 (age 27),,
28689,unknown,224 lbs. (102 kg) at 5'8'' (1.73 m),,Flex Armstrong,2009,,5th April 1982 (age 39),,
28690,Frank A. Moscato,,"Fresno, California (United States of America)",Frank Moscato,,,,XXXX,
28691,unknown,,Mexico,Crixus,,,1991,,
28692,unknown,,,Eddie Kettler,,,,,
28693,unknown,,,Stanley Hackney,,,,XXXX,
28694,unknown,,,King Cole,,,,,
28695,unknown,209 lbs. (95 kg) at 6'1'' (1.85 m),California (United States of America),Ryan Morals,12th May 2012 (9 years ago),,,,
28697,unknown,,,Blake Grayson,,,,,
28698,John Webber,,"Los Angeles, California (United States of America)",Roscoe Tucker,,6'5'' (1.96 m),1968,,
28699,unknown,,,Drake Fortune,,,,,
28700,unknown,,,Chris Law,,,,,
28701,unknown,,California (United States of America),Dexter Milhouse,,,,,190 lbs. (86 kg)
28703,Chris Hughett,,"Borden, Indiana (United States of America)",Bam Hanson,,,,,
28704,unknown,,"Bethel, Connecticut (United States of America)",Erik Newton,,,,28th May 2015,
28706,Matthew Lancie,,"Phoenix, Arizona (United States of America)",Matt Lancie,5th November 2011 (10 years ago),,,,
28708,Antoine Gaudette,,,Tony Gaudette,,,,,
28709,unknown,,,Dexter St. Jock,,,,,
28710,Joseph Salopek,,,Joe DeSoul,,,,,
28711,Marcus Cary Lewis,,"San José, California (United States of America)",Marquis Jackson,2013,,,,
28712,unknown,220 lbs. (100 kg) at 5'9'' (1.75 m),,Sir Samurai,,,,,
28713,unknown,152 lbs. (69 kg) at 5'10'' (1.78 m),"Modesto, California (United States of America)",Daniel Torch,,,29th May 1986 (age 35),,
28714,unknown,,,Idris Jackson,,,,,
28715,Drake Smith,,"Sacramento, California (United States of America)",Drake Frost,,,,,
28716,Daniel Tachella,264 lbs. (120 kg) at 6'4'' (1.93 m),"Woodbridge, California (United States of America)",Dan Danielson,2007,,,,
28717,unknown,,California (United States of America),Christian Saint,,,,,
28718,unknown,,"San Francisco, California (United States of America)",Jonny Yen,,,,,
28719,unknown,,"Fresno, California (United States of America)",Harry Henderson,,,,,
28722,unknown,,"New York City, New York (United States of America)",Ultimo Maya,,,21st February ???,,
28723,unknown,,,Jabali Jr.,,,,,
28724,unknown,,,Anthony LaCerra,,,,,
28725,unknown,230 lbs. (104 kg) at 6'3'' (1.91 m),"Seattle, Washington (United States of America)",Eric Locker,,,17th February ???,,
28726,Harry Winstanley,,,Melvin Riss,,,,,
28727,unknown,,,Curley Lavoie,,,,,
28737,Billy Donald,,United States of America,Billy the P,,,1974,,
28738,unknown,,,Ted Cox Jr.,,,,,
28739,Marion Motley ,238 lbs. (108 kg) at 6'1'' (1.85 m),Georgia (United States of America),Marion Motley ,1954,,5th June 1920,27th June 1999,
28740,George Wandschneider,,,George Anderson,,,,,
28741,unknown,,"Spartanburg, South Carolina (United States of America)",Joey Rhymer,,,,,
28742,unknown,320 lbs. (145 kg) at 6'8'' (2.03 m),"London, Ontario (Canada)",Jeff Thomas,,,,,
28743,Rene Galibois,,Canada,Pierre DeGlane,,,,,
28744,unknown,,,Charley Gordon,,,1890,17th September 1950,
28745,unknown,,,Mikey D,,,,,
28746,Wang Bin,220 lbs. (100 kg) at 6'3'' (1.91 m),Anhui (China),Bing,,,14th April 1994 (age 27),,
28747,Keisuke Okuda,187 lbs. (85 kg) at 5'9'' (1.75 m),"Tsu, Mie (Japan)",Keisuke Okuda,3rd November 2009 (12 years ago),,5th June 1991 (age 30),,
28748,unknown,,"Santa Ana, California (United States of America)",Datura ,,,,,
28749,unknown,,"Calgary, Alberta (Canada)",Badd Blood,16th June 1993 (28 years ago),,1st July 1974 (age 47),,
28750,Jenyvalice Vargas Torres,,Bayamón (Puerto Rico),Vanilla Vargas ,,,,,
28751,unknown,148 lbs. (67 kg) at 5'7'' (1.70 m),"Guadalajara, Jalisco (Mexico)",Aztrik ,10th May 2010 (11 years ago),,4th November 1984 (age 37),,
28752,unknown,130 lbs. (59 kg) at 5'2'' (1.57 m),Mexico,La Quimera ,12th December 2008 (13 years ago),,12th December 1991 (age 30),,
28753,Akiko Tanaka,165 lbs. (75 kg) at 5'2'' (1.57 m),"Kawasaki, Kanagawa (Japan)",Hibiki ,5th October 2014 (7 years ago),,28th December 1998 (age 23),,
